 0.27335E+01 0.33368E-02 0.00000E+00   126001     6363    6     6358 0.233E+04 0.23713E-05  0.27335E+01
   4    0.27477E+01    0.17450E-01    0.80331E+00    0.13630E+02    0.27477E+01
   5    0.27379E+01    0.78497E-02    0.51288E+00    0.79343E+01    0.27379E+01
   6    0.27318E+01    0.37716E-02    0.34928E+00    0.56620E+01    0.27318E+01
