 0.27315E+01 0.52003E-02 0.00000E+00   126001     6303    6     6299 0.231E+04 0.23678E-05  0.27315E+01
   4    0.27535E+01    0.18199E-01    0.83604E+00    0.18621E+02    0.27535E+01
   5    0.27435E+01    0.80023E-02    0.52177E+00    0.85838E+01    0.27435E+01
   6    0.27277E+01    0.38297E-02    0.35519E+00    0.60596E+01    0.27277E+01
