 0.27327E+01 0.33168E-02 0.00000E+00   126001     6418    6     6415 0.235E+04 0.23711E-05  0.27327E+01
   4    0.27357E+01    0.16962E-01    0.78430E+00    0.13831E+02    0.27357E+01
   5    0.27373E+01    0.78320E-02    0.51182E+00    0.81974E+01    0.27373E+01
   6    0.27315E+01    0.37498E-02    0.34729E+00    0.57329E+01    0.27315E+01
