 0.45059E+00 0.22881E-02 0.00000E+00    30001     1615    4     1610 0.357E+04 0.15680E-05  0.45059E+00
   2    0.44376E+00    0.18717E-01    0.26675E+01    0.17899E+02    0.44376E+00
   3    0.44512E+00    0.61162E-02    0.12290E+01    0.50114E+01    0.44512E+00
   4    0.45159E+00    0.24888E-02    0.69712E+00    0.17983E+01    0.45159E+00
