 0.27340E+01 0.34374E-02 0.00000E+00   126001     6464    6     6460 0.236E+04 0.23736E-05  0.27340E+01
   4    0.27285E+01    0.18116E-01    0.83984E+00    0.19490E+02    0.27285E+01
   5    0.27336E+01    0.80748E-02    0.52841E+00    0.91633E+01    0.27336E+01
   6    0.27344E+01    0.38852E-02    0.35945E+00    0.62561E+01    0.27344E+01
