 0.27349E+01 0.32920E-02 0.00000E+00   126001     6445    6     6440 0.235E+04 0.23746E-05  0.27349E+01
   4    0.27288E+01    0.16728E-01    0.77541E+00    0.18989E+02    0.27288E+01
   5    0.27336E+01    0.76838E-02    0.50282E+00    0.10327E+02    0.27336E+01
   6    0.27355E+01    0.37330E-02    0.34523E+00    0.66888E+01    0.27355E+01
