 0.58639E+00 0.67722E-02 0.00000E+00    30001     1688    4     1685 0.287E+04 0.20496E-05  0.58639E+00
   2    0.58332E+00    0.26239E-01    0.28449E+01    0.28304E+02    0.58332E+00
   3    0.56390E+00    0.71687E-02    0.11370E+01    0.57049E+01    0.56390E+00
   4    0.59028E+00    0.31047E-02    0.66529E+00    0.24473E+01    0.59028E+00
