 0.44420E+00 0.23220E-02 0.00000E+00    30001     1572    4     1567 0.353E+04 0.15413E-05  0.44420E+00
   2    0.46117E+00    0.20214E-01    0.27722E+01    0.23780E+02    0.46117E+00
   3    0.44431E+00    0.58932E-02    0.11863E+01    0.53594E+01    0.44431E+00
   4    0.44388E+00    0.25463E-02    0.72561E+00    0.27723E+01    0.44388E+00
