 0.58127E+00 0.27915E-02 0.00000E+00    30001     1635    4     1630 0.280E+04 0.20212E-05  0.58127E+00
   2    0.55279E+00    0.21981E-01    0.25149E+01    0.25337E+02    0.55279E+00
   3    0.57928E+00    0.73815E-02    0.11397E+01    0.62231E+01    0.57928E+00
   4    0.58210E+00    0.30440E-02    0.66147E+00    0.25244E+01    0.58210E+00
