 0.44539E+00 0.39089E-02 0.00000E+00    30001     1592    4     1588 0.357E+04 0.15503E-05  0.44539E+00
   2    0.40718E+00    0.15403E-01    0.23925E+01    0.21580E+02    0.40718E+00
   3    0.44330E+00    0.57247E-02    0.11550E+01    0.45692E+01    0.44330E+00
   4    0.44649E+00    0.23688E-02    0.67109E+00    0.24200E+01    0.44649E+00
