0.44544E+00 0.68704E-03 0.00000E+01 420014 0 0 22320 0.50100E+05 0.00000E+01 0.44544E+00
1 0.43824 0.01652 2.3842 15.535 0.43824
2 0.44122 0.0059952 1.2153 4.3994 0.44122
3 0.4461 0.0023933 0.67861 2.0105 0.4461
4 0.44376 0.018717 2.6675 17.899 0.44376
5 0.44512 0.0061162 1.229 5.0114 0.44512
6 0.45159 0.0024888 0.69712 1.7983 0.45159
7 0.46796 0.021235 2.8699 22.101 0.46796
8 0.44476 0.0056301 1.1322 4.2059 0.44476
9 0.44576 0.0025203 0.71519 3.4943 0.44576
10 0.47814 0.022111 2.9247 31.756 0.47814
11 0.43972 0.0058827 1.1966 6.0572 0.43972
12 0.44491 0.0024108 0.68541 1.8393 0.44491
13 0.45459 0.01823 2.5362 18.1 0.45459
14 0.44287 0.0060342 1.2187 4.6777 0.44287
15 0.4445 0.0023645 0.67287 1.9847 0.4445
16 0.40718 0.015403 2.3925 21.58 0.40718
17 0.4433 0.0057247 1.155 4.5692 0.4433
18 0.44649 0.0023688 0.67109 2.42 0.44649
19 0.46117 0.020214 2.7722 23.78 0.46117
20 0.44431 0.0058932 1.1863 5.3594 0.44431
21 0.44388 0.0025463 0.72561 2.7723 0.44388
22 0.4237 0.016404 2.4486 15.603 0.4237
23 0.44789 0.0064107 1.2802 4.7228 0.44789
24 0.446 0.0025115 0.71229 1.7861 0.446
25 0.47327 0.02249 3.0055 21.583 0.47327
26 0.44311 0.0060387 1.2189 5.2709 0.44311
27 0.44397 0.0024019 0.68433 1.8037 0.44397
28 0.44611 0.018739 2.6566 23.024 0.44611
29 0.45052 0.0061512 1.2212 6.4377 0.45052
30 0.44474 0.0023912 0.6801 1.7742 0.44474
31 0.44509 0.021491 3.0539 22.245 0.44509
32 0.45744 0.0062859 1.2291 4.894 0.45744
33 0.44666 0.0026748 0.75748 4.4278 0.44666
34 0.45647 0.022459 3.1117 25.671 0.45647
35 0.43353 0.0055073 1.1362 4.3371 0.43353
36 0.4456 0.0024746 0.70246 3.0468 0.4456
37 0.42061 0.016935 2.5465 24.394 0.42061
38 0.4477 0.0056844 1.1356 4.5673 0.4477
39 0.44421 0.0024903 0.70912 3.5266 0.44421
40 0.46532 0.019088 2.5945 17.863 0.46532
41 0.44378 0.0061641 1.2424 5.8142 0.44378
42 0.44325 0.0023687 0.67596 1.9356 0.44325
