 0.44364E+00 0.21965E-02 0.00000E+00    30001     1615    4     1611 0.363E+04 0.15391E-05  0.44364E+00
   2    0.46532E+00    0.19088E-01    0.25945E+01    0.17863E+02    0.46532E+00
   3    0.44378E+00    0.61641E-02    0.12424E+01    0.58142E+01    0.44378E+00
   4    0.44325E+00    0.23687E-02    0.67596E+00    0.19356E+01    0.44325E+00
