 0.58638E+00 0.49009E-02 0.00000E+00    30001     1655    4     1651 0.282E+04 0.20459E-05  0.58638E+00
   2    0.58593E+00    0.27888E-01    0.30102E+01    0.30491E+02    0.58593E+00
   3    0.57003E+00    0.74701E-02    0.11721E+01    0.62841E+01    0.57003E+00
   4    0.58922E+00    0.32154E-02    0.69026E+00    0.24719E+01    0.58922E+00
