 0.44444E+00 0.21857E-02 0.00000E+00    30001     1585    4     1582 0.356E+04 0.15434E-05  0.44444E+00
   2    0.45459E+00    0.18230E-01    0.25362E+01    0.18100E+02    0.45459E+00
   3    0.44287E+00    0.60342E-02    0.12187E+01    0.46777E+01    0.44287E+00
   4    0.44450E+00    0.23645E-02    0.67287E+00    0.19847E+01    0.44450E+00
