 0.27367E+01 0.34873E-02 0.00000E+00   126001     6408    6     6404 0.234E+04 0.23764E-05  0.27367E+01
   4    0.27262E+01    0.18060E-01    0.83795E+00    0.14666E+02    0.27262E+01
   5    0.27349E+01    0.82368E-02    0.53875E+00    0.83934E+01    0.27349E+01
   6    0.27376E+01    0.39398E-02    0.36408E+00    0.58322E+01    0.27376E+01
