 0.27400E+01 0.33880E-02 0.00000E+00   126001     6442    6     6437 0.235E+04 0.23777E-05  0.27400E+01
   4    0.27567E+01    0.17776E-01    0.81567E+00    0.13405E+02    0.27567E+01
   5    0.27401E+01    0.79686E-02    0.52023E+00    0.92246E+01    0.27401E+01
   6    0.27391E+01    0.38290E-02    0.35364E+00    0.64967E+01    0.27391E+01
