 0.27357E+01 0.34478E-02 0.00000E+00   126001     6351    6     6347 0.232E+04 0.23749E-05  0.27357E+01
   4    0.27354E+01    0.18299E-01    0.84618E+00    0.17343E+02    0.27354E+01
   5    0.27350E+01    0.81177E-02    0.53096E+00    0.92727E+01    0.27350E+01
   6    0.27359E+01    0.38937E-02    0.36005E+00    0.64865E+01    0.27359E+01
