 0.44588E+00 0.22871E-02 0.00000E+00    30001     1591    4     1587 0.356E+04 0.15478E-05  0.44588E+00
   2    0.46796E+00    0.21235E-01    0.28699E+01    0.22101E+02    0.46796E+00
   3    0.44476E+00    0.56301E-02    0.11322E+01    0.42059E+01    0.44476E+00
   4    0.44576E+00    0.25203E-02    0.71519E+00    0.34943E+01    0.44576E+00
