 0.58261E+00 0.28937E-02 0.00000E+00    30001     1598    4     1593 0.273E+04 0.20220E-05  0.58261E+00
   2    0.59270E+00    0.23086E-01    0.24634E+01    0.21544E+02    0.59270E+00
   3    0.58301E+00    0.78898E-02    0.12104E+01    0.62593E+01    0.58301E+00
   4    0.58235E+00    0.31390E-02    0.68182E+00    0.24905E+01    0.58235E+00
