 0.44532E+00 0.22029E-02 0.00000E+00    30001     1628    4     1623 0.364E+04 0.15489E-05  0.44532E+00
   2    0.43824E+00    0.16520E-01    0.23842E+01    0.15535E+02    0.43824E+00
   3    0.44122E+00    0.59952E-02    0.12153E+01    0.43994E+01    0.44122E+00
   4    0.44610E+00    0.23933E-02    0.67861E+00    0.20105E+01    0.44610E+00
